[INFO] 2025-10-16 19:53:37 | sistema | CRIAR | USUARIO | admin
[INFO] 2025-10-16 19:57:28 | admin | LOGIN | USUARIO | admin
[INFO] 2025-10-16 20:01:08 | admin | LOGIN | USUARIO | admin
[INFO] 2025-10-16 20:06:14 | admin | LOGIN | USUARIO | admin
[INFO] 2025-10-16 20:07:20 | admin | CRIAR | SEGURO | Ap�lice: AP1004
[INFO] 2025-10-16 20:07:51 | admin | ATUALIZAR | SEGURO | Ap�lice: AP1002
[INFO] 2025-10-16 20:08:17 | admin | CANCELAR | SEGURO | Ap�lice: AP1003
[INFO] 2025-10-16 20:08:52 | admin | REGISTRAR | SINISTRO | Ap�lice: AP1001
[INFO] 2025-10-16 20:09:15 | admin | ATUALIZAR_STATUS | SINISTRO | ID: 1
[INFO] 2025-10-16 20:09:50 | admin | CRIAR | USUARIO | guilherme
[INFO] 2025-10-16 20:10:07 | admin | ALTERAR_SENHA | USUARIO | guilherme
[INFO] 2025-10-16 20:10:23 | admin | DELETAR_USUARIO | USUARIO | guilherme
[INFO] 2025-10-16 20:11:14 | admin | LOGIN | USUARIO | admin
